,Unnamed: 0,Unnamed: 0.1,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic,name,paired_domination_number,power_domination_number,2-power_domination_number,2-domination_number,2-forcing_number,total_forcing_number,networkx_graph
74,74.0,MathematicaGraph6031.txt,3,4,6,4,1,7,4,8,3,2,4,3,14,1,2,2,3,4,4,1000000,0.25,16.75407202994099,0.0,0.4908163265306121,0.0,84.0,0.1522409349774265,1,2,3.914213562373095,3.5,3.833333333333333,4.949747468305833,3.654700538379252,26.0,24.0,3,4,3.6666666666666665,3.333333333333333,7.0,6.0,1.25,1.5,1.7222222222222223,4.5,2,1.75,2,6,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-74,4,1,1,5,1,2,
75,75.0,MathematicaGraph6032.txt,3,5,7,5,1,8,4,9,3,2,4,3,16,1,2,2,4,5,4,1000000,0.2222222222222222,19.03365733227703,0.0,0.4572420634920635,0.0,120.0,0.1206147584281834,1,2,4.414213562373095,4.0,4.333333333333333,5.656854249492381,4.154700538379252,30.0,28.0,3,5,4.166666666666666,3.8333333333333335,8.0,7.0,1.2222222222222223,1.4444444444444444,1.6666666666666667,5.0,2,1.7777777777777777,2,7,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-75,6,1,1,5,1,2,
76,76.0,MathematicaGraph6033.txt,4,6,8,5,1,9,5,10,4,2,5,3,18,1,2,2,4,5,5,1000000,0.2,21.313242634613104,0.0,0.4286596119929454,0.0,165.0,0.0978869674096931,1,2,4.914213562373095,4.5,4.833333333333333,6.3639610306789285,4.654700538379252,34.0,32.0,4,5,4.666666666666666,4.333333333333333,9.0,8.0,1.2,1.4,1.6181818181818182,5.5,2,1.8,2,8,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-76,6,1,1,6,1,2,
77,77.0,MathematicaGraph6034.txt,4,6,9,6,1,10,5,11,4,2,5,4,20,1,2,2,4,6,5,1000000,0.1818181818181818,23.59282793694919,0.0,0.4039754689754692,0.0,220.0,0.0810140527710058,1,2,5.414213562373095,5.0,5.333333333333333,7.071067811865476,5.154700538379252,38.0,36.0,4,6,5.166666666666666,4.833333333333332,10.0,9.0,1.181818181818182,1.3636363636363635,1.5757575757575757,6.0,2,1.818181818181818,2,9,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-77,6,1,1,6,1,2,
78,78.0,MathematicaGraph6035.txt,4,6,10,6,1,11,6,12,4,2,6,4,22,1,2,2,5,6,6,1000000,0.1666666666666666,25.87241323928524,0.0,0.3824019414928508,0.0,286.0,0.0681483474218637,1,2,5.914213562373095,5.5,5.833333333333333,7.778174593052023,5.654700538379252,42.0,40.0,4,6,5.666666666666666,5.333333333333332,11.0,10.0,1.1666666666666667,1.3333333333333333,1.5384615384615383,6.5,2,1.8333333333333333,2,10,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-78,6,1,1,7,1,2,
79,79.0,MathematicaGraph6036.txt,5,7,11,7,1,12,6,13,5,2,6,4,24,1,2,2,5,7,6,1000000,0.1538461538461538,28.151998541621303,0.0,0.3633556258556262,0.0,364.0,0.0581163651478966,1,2,6.414213562373095,6.0,6.333333333333333,8.485281374238571,6.154700538379252,46.0,44.0,5,7,6.166666666666666,5.833333333333332,12.0,11.0,1.1538461538461535,1.3076923076923077,1.5054945054945057,7.0,2,1.8461538461538465,2,11,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-79,8,1,1,7,1,2,
80,80.0,MathematicaGraph6037.txt,5,8,12,7,1,13,7,14,5,2,7,5,26,1,2,2,5,7,7,1000000,0.1428571428571428,30.431583843957345,0.0,0.3463942040865122,0.0,455.0,0.0501441756363529,1,2,6.914213562373095,6.5,6.833333333333333,9.19238815542512,6.654700538379252,50.0,48.0,5,7,6.666666666666666,6.333333333333332,13.0,12.0,1.1428571428571428,1.2857142857142858,1.4761904761904765,7.5,2,1.8571428571428568,2,12,True,False,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,graph-80,8,1,1,8,1,2,
81,81.0,MathematicaGraph7389.txt,1,2,1,4,3,2,1,5,1,2,1,1,6,1,4,2,4,4,1,1000000,0.4,10.524391382167265,0.0,0.7,0.0,16.0,0.9999999999999992,1,1,2.0,1.0,1.6,3.4641016151377544,1.7888543819998317,20.0,16.0,1,2,2.5,1.6666666666666663,5.0,2.5,1.0,2.0,2.0,4.0,4,1.6,4,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-81,2,1,1,4,2,4,
82,82.0,MathematicaGraph7390.txt,1,2,1,5,4,2,1,6,1,2,1,1,6,1,5,2,5,5,1,1000000,0.3333333333333333,13.46334694226153,0.0,0.6666666666666666,0.0,25.0,1.0000000000000004,1,1,2.23606797749979,1.0,1.6666666666666663,4.47213595499958,2.041241452319315,30.0,25.0,1,2,3.0,2.0,6.0,3.0,1.0,2.0,2.0,5.0,5,1.6666666666666667,5,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-82,2,1,1,5,3,5,
83,83.0,MathematicaGraph7391.txt,1,2,1,6,5,2,1,7,1,2,1,1,6,1,6,2,6,6,1,1000000,0.2857142857142857,16.668772819667716,0.0,0.6428571428571429,0.0,36.0,1.0000000000000004,1,1,2.4494897427831783,1.0,1.7142857142857142,5.477225575051661,2.267786838055363,42.0,36.0,1,2,3.5,2.333333333333333,7.0,3.5,1.0,2.0,2.0,6.0,6,1.7142857142857142,6,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-83,2,1,1,6,4,6,
